scorer,,,chen,chen,chen,chen,chen,chen,chen,chen,chen,chen,chen,chen,chen,chen
bodyparts,,,nose_tip,nose_tip,eye_left,eye_left,eye_right,eye_right,cheek_left,cheek_left,cheek_right,cheek_right,whisker_pad_left,whisker_pad_left,whisker_pad_right,whisker_pad_right
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,example,000001.jpg,148.11404568778843,371.03510661799635,,,198.5736966890448,288.7789632049894,,,196.50001240132192,369.65265042618114,,,227.6052767171649,331.63510515126194
labeled-data,example,000002.jpg,206.9165630730793,587.2162371814829,,,497.4721500090968,595.198533525879,,,385.7200011875516,756.4409196826799,,,368.15894922988025,628.7241781723426
labeled-data,example,000003.jpg,598.8927892869599,805.9304027132735,446.3539775411018,566.6538352687903,664.6938453341927,545.7171356173981,344.66143637719665,659.3735051535275,721.5220301022575,644.4187196882474,455.32684882027,731.1564753868724,688.621502078641,731.1564753868724
labeled-data,example,000004.jpg,398.4986640522052,722.1836041077042,302.78803707441205,518.7985217798937,521.1279048675028,512.8166075937816,263.9055948646835,572.6357494549022,560.0103470772315,596.5634061993508,290.8242087021879,647.4096767813032,500.1912052161106,668.3463764326957
labeled-data,example,000005.jpg,61.11891876897677,273.5126740181375,,,131.20750070601522,204.54550939209165,,,183.91411432266815,262.8592095637076,,,150.83230364838602,234.26306813339596
labeled-data,example,000007.jpg,904.436968579572,816.1415955114779,646.6189543603822,607.5254924028206,912.3092743572572,524.8662817371262,583.6405081389007,715.7696968459919,991.0323321341091,601.6212630695568,711.565477026285,766.9396844009456,957.575032578947,700.0250852906215
labeled-data,example,000008.jpg,284.12056912133727,776.9947548839979,281.1296120282811,504.8176594158982,559.2886216824929,591.5554151145235,580.2253213338852,735.1213555812134,,,209.34664179493626,612.4921147659157,466.5689517977557,803.9133687215023
labeled-data,example,000009.jpg,771.6465752894717,803.9133687215025,514.4242652866524,702.2208275575969,,,445.6322521463633,821.8591112798384,,,640.0444631950061,860.7415534895671,,
labeled-data,example,000010.jpg,696.8726479630707,642.4016856964762,475.54182307692366,558.654887090907,,,385.81311028524254,681.2841279062046,,,541.3428791241565,693.2479562784289,,
labeled-data,example,000011.jpg,726.7822188936311,860.7415534895671,551.5927334255598,614.8383306487742,734.6238427567404,569.5725724270843,447.2846818712312,707.3379235365751,805.4745947559071,614.8383306487741,547.6565805367171,774.2525226468993,797.6022889782217,705.369847092154
labeled-data,example,000012.jpg,531.9119689813468,1173.7720408644225,,,669.6773200908375,939.5709439782881,,,787.7619067561153,1047.8151484214595,,,714.9430783125273,1124.5701297538901
